match_id,date,home_team,away_team,home_goals,away_goals,status,round
1319374,2025-01-14T20:00:00-06:00,Municipal Liberia,LD Alajuelense,1,3,FT,Clausura - 2
1319372,2025-01-15T16:00:00-06:00,Santos DE Guapiles,San Carlos,1,1,FT,Clausura - 2
1319371,2025-01-15T17:00:00-06:00,Santa Ana,Puntarenas FC,1,2,FT,Clausura - 2
1319376,2025-01-15T20:00:00-06:00,CS Herediano,AD Guanacasteca,4,1,FT,Clausura - 2
1319375,2025-01-16T18:00:00-06:00,Sporting San Jose,CS Cartagines,1,1,FT,Clausura - 2
1319373,2025-01-16T20:00:00-06:00,Deportivo Saprissa,Perez Zeledon,0,0,FT,Clausura - 2
1319380,2025-01-18T15:00:00-06:00,Puntarenas FC,Santos DE Guapiles,2,1,FT,Clausura - 3
1319378,2025-01-19T11:00:00-06:00,CS Cartagines,Municipal Liberia,0,1,FT,Clausura - 3
1319382,2025-01-19T18:00:00-06:00,Perez Zeledon,Santa Ana,1,0,FT,Clausura - 3
1319381,2025-01-20T19:00:00-06:00,San Carlos,Sporting San Jose,0,1,FT,Clausura - 3
1319386,2025-01-22T16:00:00-06:00,Municipal Liberia,Santa Ana,4,0,FT,Clausura - 4
1319384,2025-01-23T16:00:00-06:00,AD Guanacasteca,Perez Zeledon,0,1,FT,Clausura - 4
1319383,2025-01-23T20:00:00-06:00,CS Cartagines,San Carlos,2,1,FT,Clausura - 4
1319392,2025-01-25T16:00:00-06:00,Municipal Liberia,Santos DE Guapiles,0,1,FT,Clausura - 5
1319391,2025-01-25T20:00:00-06:00,CS Herediano,Deportivo Saprissa,3,1,FT,Clausura - 5
1319389,2025-01-26T11:00:00-06:00,Santa Ana,Sporting San Jose,1,2,FT,Clausura - 5
1319390,2025-01-26T18:00:00-06:00,LD Alajuelense,Perez Zeledon,0,0,FT,Clausura - 5
